EC Number	Organism	pH Optimum
3.1.1.1	Ferroplasma acidiphilum	1.5
3.1.1.1	Geobacillus thermoleovorans	5.0
3.1.1.1	Saccharolobus solfataricus	5.5
3.1.1.1	Lacticaseibacillus casei	5.5
3.1.1.1	Rattus norvegicus	5.5
3.1.1.1	Triticum aestivum	6.0
3.1.1.1	Oryctolagus cuniculus	6.0
3.1.1.1	Saccharolobus shibatae	6.0
3.1.1.1	Thermobifida fusca	6.0
3.1.1.1	Sus scrofa	6.0
3.1.1.1	Sulfurisphaera tokodaii	6.0
3.1.1.1	Archaeoglobus fulgidus	6.0
3.1.1.1	Thermus thermophilus	6.3
3.1.1.1	Phaseolus vulgaris	6.5
3.1.1.1	Spodoptera exigua	6.5
3.1.1.1	Vulcanisaeta moutnovskia	6.5
3.1.1.1	Thermotoga maritima	6.5
3.1.1.1	Aspergillus nomiae	6.5
3.1.1.1	Tribolium castaneum	6.9
3.1.1.1	Geobacillus stearothermophilus	7.0
3.1.1.1	Enterobacter cloacae	7.0
3.1.1.1	Mycobacterium tuberculosis	7.0
3.1.1.1	Acetivibrio thermocellus	7.0
3.1.1.1	Streptococcus equi	7.0
3.1.1.1	Alicyclobacillus tengchongensis	7.0
3.1.1.1	Pyrococcus furiosus	7.0
3.1.1.1	Aquamicrobium sp. FPB-1	7.0
3.1.1.1	Helicoverpa armigera	7.0
3.1.1.1	Reticulitermes flavipes	7.0
3.1.1.1	Microbacterium sp.	7.0
3.1.1.1	Lactococcus lactis	7.0
3.1.1.1	Klebsiella sp.	7.0
3.1.1.1	Cavia porcellus	7.0
3.1.1.1	Alicyclobacillus acidocaldarius	7.0
3.1.1.1	Escherichia coli	7.0
3.1.1.1	Serratia sp.	7.0
3.1.1.1	Pyrobaculum calidifontis	7.1
3.1.1.1	Mus musculus	7.2
3.1.1.1	Rhizobium viscosum	7.4
3.1.1.1	Homo sapiens	7.4
3.1.1.1	Danio rerio	7.4
3.1.1.1	Canis lupus familiaris	7.4
3.1.1.1	Bacillus subtilis	7.5
3.1.1.1	Bacillus sp. (in: Bacteria)	7.5
3.1.1.1	Aeropyrum pernix	7.5
3.1.1.1	Microbacterium hydrocarbonoxydans	7.5
3.1.1.1	Pseudomonas sp.	7.5
3.1.1.1	Micrococcus sp.	7.5
3.1.1.1	Lactobacillus delbrueckii subsp. lactis	7.5
3.1.1.1	Sulfolobus acidocaldarius	7.5
3.1.1.1	Weizmannia coagulans	8.0
3.1.1.1	Propionibacterium freudenreichii	8.0
3.1.1.1	Agrobacterium tumefaciens	8.0
3.1.1.1	Trichosporon sp.	8.0
3.1.1.1	Acinetobacter lwoffii	8.0
3.1.1.1	Pseudoalteromonas haloplanktis	8.0
3.1.1.1	Geobacillus thermodenitrificans	8.0
3.1.1.1	Anoxybacillus sp.	8.0
3.1.1.1	Pseudomonas synxantha	8.0
3.1.1.1	Bacillus subtilis subsp. subtilis	8.0
3.1.1.1	Bacillus licheniformis	8.0
3.1.1.1	Pseudomonas putida	8.0
3.1.1.1	Bombyx mori	8.5
3.1.1.1	Aspergillus nidulans	8.5
3.1.1.1	Malus domestica	8.5
3.1.1.1	uncultured bacterium	8.5
3.1.1.1	Thalassobacillus sp.	8.5
3.1.1.1	Thermomyces lanuginosus	8.5
3.1.1.1	Bacillus sp. SCSIO 15121	8.5
3.1.1.1	Haloarcula marismortui	8.5
3.1.1.1	Pseudomonas aeruginosa	9.0
3.1.1.1	unidentified	9.0
3.1.1.1	Caldanaerobacter subterraneus subsp. tengcongensis	9.0
3.1.1.1	Pseudomonas aeruginosa PAO1	9.0
3.1.1.1	Pyrobaculum sp.	9.0
3.1.1.1	Niallia circulans	9.0
3.1.1.1	Bos taurus	9.5
3.1.1.1	Paenarthrobacter nitroguajacolicus	9.5
3.1.1.1	Pseudomonas fluorescens	9.5
3.1.1.1	Calotropis procera	10.0
3.1.1.1	unidentified soil organism	10.0
3.1.1.1	Arthrobacter globiformis	10.0
